"Estimate","Std. Error","df","t value","Pr(>|t|)","var","Std_Coefficient","CI_low","CI_high","std_SE","between_var","within_var","between_var_std","within_var_std","n_group","n_all","vpc","type","x","y","model_spe","factor","intervention","AME","SE","z","p","lower","upper"
0.681470769222929,0.0212141912819111,44.6576185971806,32.1233442353283,1.66608410860902e-32,"(Intercept)",-0.113224695748229,-0.207059954025188,-0.0193894374712691,0.0478755263151261,0.00876724357999382,0.00431372922115545,0.0936335601159852,0.0656789861459162,1295,119441,0.670228714123123,"comment|video|creator","treatment","cm_knowledge_bi","base",,,,,,,,
0.00634255408277959,0.028304993815345,46.0027913950953,0.224078977870721,0.823688083302624,"interventionC+M",0.0143139923697423,-0.110885535675549,0.139513520415034,0.0638778366430468,0.00876724357999382,0.00431372922115545,0.0936335601159852,0.0656789861459162,1295,119441,0.670228714123123,"comment|video|creator","treatment","cm_knowledge_bi","base",,,,,,,,
0.00480368940175651,0.031062772261648,43.6453434491641,0.154644581021103,0.877814451084788,"interventionMO",0.0108411188820422,-0.126556673759558,0.148238911523643,0.0701014923179292,0.00876724357999382,0.00431372922115545,0.0936335601159852,0.0656789861459162,1295,119441,0.670228714123123,"comment|video|creator","treatment","cm_knowledge_bi","base",,,,,,,,
-0.0115077295656936,0.0148424920833745,1078.24629479496,-0.775323274626082,0.438318662002418,"prepost_b_daPost",-0.0259704274033967,-0.0916227499002409,0.0396818950934474,0.033496358949316,0.00876724357999382,0.00431372922115545,0.0936335601159852,0.0656789861459162,1295,119441,0.670228714123123,"comment|video|creator","treatment","cm_knowledge_bi","base",,,,,,,,
-0.0044215067009912,0.0198147418137835,1092.40506754038,-0.223142281768997,0.823466489212313,"interventionC+M:prepost_b_daPost",-0.0099785483623298,-0.0976244637977579,0.0776673670730983,0.0447176723109471,0.00876724357999382,0.00431372922115545,0.0936335601159852,0.0656789861459162,1295,119441,0.670228714123123,"comment|video|creator","treatment","cm_knowledge_bi","base",,,,,,,,
0.0238575289009676,0.0183946730760469,934.817051786432,1.29698031611305,0.194957976532816,"interventionMO:prepost_b_daPost",0.0538413605043057,-0.0275232061545715,0.135205927163183,0.041512876116337,0.00876724357999382,0.00431372922115545,0.0936335601159852,0.0656789861459162,1295,119441,0.670228714123123,"comment|video|creator","treatment","cm_knowledge_bi","base",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"prepost_b_daPost","Control",-0.0115077295656937,0.014842492091838,-0.775323274183981,0.438148659918003,-0.0405984795065167,0.0175830203751293
,,,,,,,,,,,,,,,,,,,,,"prepost_b_daPost","C+M",-0.0159292362666849,0.0131272396839444,-1.2134490304285,0.2249581902646,-0.0416581532636408,0.00979968073027114
,,,,,,,,,,,,,,,,,,,,,"prepost_b_daPost","MO",0.0123497993352739,0.010865745542816,1.13658094482427,0.255713509627812,-0.00894667059382209,0.0336462692643699
0.392860933953864,0.0438684300445686,43.3407602116269,8.9554363708647,2.04939755875676e-11,"(Intercept)",0.358773100988694,0.157365358902723,0.560180843074666,0.102759898926763,0.0187143486001093,0.0240728919826486,0.136800396929648,0.155154413352146,1295,119441,0.437381526483637,"comment|video|creator","treatment","cm_express_appreciation","base",,,,,,,,
-0.0169556310716263,0.0581833075734357,43.9682178305729,-0.29141744907207,0.772102519884373,"interventionC+M",-0.0397178382450776,-0.30684772229238,0.227412045802225,0.136291880345402,0.0187143486001093,0.0240728919826486,0.136800396929648,0.155154413352146,1295,119441,0.437381526483637,"comment|video|creator","treatment","cm_express_appreciation","base",,,,,,,,
-0.0561549440316391,0.0635461300691602,44.028983258644,-0.883687865343226,0.381664728578985,"interventionMO",-0.131540554599913,-0.423292107867032,0.160210998667205,0.148854060002609,0.0187143486001093,0.0240728919826486,0.136800396929648,0.155154413352146,1295,119441,0.437381526483637,"comment|video|creator","treatment","cm_express_appreciation","base",,,,,,,,
0.0441567237175846,0.0188690579746986,1075.26564256662,2.3401657770512,0.0194573268209691,"prepost_b_daPost",0.10343524384428,0.0168040261570288,0.190066461531532,0.0441999651117902,0.0187143486001093,0.0240728919826486,0.136800396929648,0.155154413352146,1295,119441,0.437381526483637,"comment|video|creator","treatment","cm_express_appreciation","base",,,,,,,,
-0.0512596336919395,0.0252025922435521,1067.74559294571,-2.03390322696087,0.0422081688339558,"interventionC+M:prepost_b_daPost",-0.120073506658717,-0.235783112161277,-0.00436390115615656,0.0590359995258937,0.0187143486001093,0.0240728919826486,0.136800396929648,0.155154413352146,1295,119441,0.437381526483637,"comment|video|creator","treatment","cm_express_appreciation","base",,,,,,,,
-0.0753540260037817,0.0238521017257731,962.157169935032,-3.15921954677724,0.0016312829141186,"interventionMO:prepost_b_daPost",-0.176513595152104,-0.286022857359249,-0.0670043329449584,0.0558725329989907,0.0187143486001093,0.0240728919826486,0.136800396929648,0.155154413352146,1295,119441,0.437381526483637,"comment|video|creator","treatment","cm_express_appreciation","base",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"prepost_b_daPost","Control",0.0441567237175846,0.0188690579556016,2.34016577941963,0.0192751818370027,0.00717404970240651,0.0811393977327627
,,,,,,,,,,,,,,,,,,,,,"prepost_b_daPost","C+M",-0.00710290997435498,0.0167071633427298,-0.4251415891882,0.670733461630295,-0.0398483484099331,0.0256425284612232
,,,,,,,,,,,,,,,,,,,,,"prepost_b_daPost","MO",-0.0311973022861972,0.0145904560424631,-2.13819925815907,0.0325005745728611,-0.0597940706474397,-0.00260053392495457
0.494141471982237,0.0241615363104817,38.5998217135281,20.4515750005462,2.57795149987684e-22,"(Intercept)",-0.0123951919574343,-0.107107110889574,0.0823167269747057,0.0483228058456268,0.00928757479961039,0.00586226030845702,0.0963720644150077,0.0765653988983079,1295,119441,0.613047913284857,"comment|video|creator","treatment","cm_knowledge_agreement","base",,,,,,,,
