Estimate,Std. Error,df,t value,Pr(>|t|),Std_Coefficient,CI_low,CI_high,std_SE,var,between_var,within_var,between_var_std,within_var_std,n_group,n_all,vpc,type,x,y,m,model_spe,factor_no,intervention_no,moderation_no,ame_no,SE_no,z_no,p_no,lower_no,upper_no,factor_yes,intervention_yes,moderation_yes,ame_yes,SE_yes,z_yes,p_yes,lower_yes,upper_yes
0.068732916,0.034407317,45.32619326,1.997625007,0.051780049,0.155069246,0.002917993,0.307220499,0.077629047,interventionC+M,0.007953741,0.003330043,0.089183749,0.057706528,1863,164855,0.704882402,comment|video|creator,treatment,cm_knowledge_bi,engagement_large,moderation,,,,,,,,,,,,,,,,,,
0.057497974,0.037247964,43.52524261,1.543654129,0.12991243,0.129721497,-0.034991348,0.294434342,0.084038093,interventionMO,0.007953741,0.003330043,0.089183749,0.057706528,1863,164855,0.704882402,comment|video|creator,treatment,cm_knowledge_bi,engagement_large,moderation,,,,,,,,,,,,,,,,,,
-0.033124588,0.020586468,1486.315449,-1.609046672,0.107818499,-0.07473341,-0.165765909,0.01629909,0.046445665,prepost_b_daPost,0.007953741,0.003330043,0.089183749,0.057706528,1863,164855,0.704882402,comment|video|creator,treatment,cm_knowledge_bi,engagement_large,moderation,,,,,,,,,,,,,,,,,,
0.06052264,0.038430841,44.36509583,1.574845601,0.122397145,0.136546558,-0.033397009,0.306490124,0.086706858,moderationYes,0.007953741,0.003330043,0.089183749,0.057706528,1863,164855,0.704882402,comment|video|creator,treatment,cm_knowledge_bi,engagement_large,moderation,,,,,,,,,,,,,,,,,,
0.019602909,0.023548037,1495.724471,0.832464674,0.405279604,0.044227106,-0.059901321,0.148355534,0.053127335,interventionC+M:prepost_b_daPost,0.007953741,0.003330043,0.089183749,0.057706528,1863,164855,0.704882402,comment|video|creator,treatment,cm_knowledge_bi,engagement_large,moderation,,,,,,,,,,,,,,,,,,
0.041863414,0.022943357,1373.634152,1.824642069,0.068272178,0.094449192,-0.007005374,0.195903758,0.051763105,interventionMO:prepost_b_daPost,0.007953741,0.003330043,0.089183749,0.057706528,1863,164855,0.704882402,comment|video|creator,treatment,cm_knowledge_bi,engagement_large,moderation,,,,,,,,,,,,,,,,,,
-0.191502248,0.054878892,53.94418463,-3.489542903,0.00097202,-0.43205152,-0.674728847,-0.189374193,0.123816329,interventionC+M:moderationYes,0.007953741,0.003330043,0.089183749,0.057706528,1863,164855,0.704882402,comment|video|creator,treatment,cm_knowledge_bi,engagement_large,moderation,,,,,,,,,,,,,,,,,,
-0.122635311,0.058496767,44.25351376,-2.096445961,0.041792515,-0.276678887,-0.535355223,-0.018002551,0.131979179,interventionMO:moderationYes,0.007953741,0.003330043,0.089183749,0.057706528,1863,164855,0.704882402,comment|video|creator,treatment,cm_knowledge_bi,engagement_large,moderation,,,,,,,,,,,,,,,,,,
0.021823374,0.025737199,1492.248708,0.847931197,0.396612272,0.049236466,-0.064572343,0.163045274,0.058066359,prepost_b_daPost:moderationYes,0.007953741,0.003330043,0.089183749,0.057706528,1863,164855,0.704882402,comment|video|creator,treatment,cm_knowledge_bi,engagement_large,moderation,,,,,,,,,,,,,,,,,,
0.098591949,0.044424097,1625.112792,2.219334927,0.026601571,0.222435507,0.025993835,0.418877178,0.100226449,interventionC+M:prepost_b_daPost:moderationYes,0.007953741,0.003330043,0.089183749,0.057706528,1863,164855,0.704882402,comment|video|creator,treatment,cm_knowledge_bi,engagement_large,moderation,,,,,,,,,,,,,,,,,,
0.004687265,0.035286743,1341.56039,0.132833599,0.894344902,0.010574769,-0.145461719,0.166611256,0.079611331,interventionMO:prepost_b_daPost:moderationYes,0.007953741,0.003330043,0.089183749,0.057706528,1863,164855,0.704882402,comment|video|creator,treatment,cm_knowledge_bi,engagement_large,moderation,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_bi,engagement_large,moderation,prepost_b_daPost,Control,No,-0.033124588,0.020586468,-1.609046671,0.107606137,-0.073473325,0.007224148,,,,,,,,,
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_bi,engagement_large,moderation,prepost_b_daPost,C+M,No,-0.013521679,0.011432733,-1.182716248,0.236921623,-0.035929424,0.008886066,,,,,,,,,
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_bi,engagement_large,moderation,prepost_b_daPost,MO,No,0.008738826,0.010128916,0.86276019,0.388269331,-0.011113486,0.028591137,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,prepost_b_daPost,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,prepost_b_daPost,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,prepost_b_daPost,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_bi,engagement_large,moderation,,,,,,,,,,prepost_b_daPost,Control,Yes,-0.011301214,0.015446706,-0.731626149,0.464396783,-0.041576202,0.018973774
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_bi,engagement_large,moderation,,,,,,,,,,prepost_b_daPost,C+M,Yes,0.106893644,0.034356798,3.111280737,0.001862778,0.039555557,0.174231731
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_bi,engagement_large,moderation,,,,,,,,,,prepost_b_daPost,MO,Yes,0.035249465,0.02191246,1.608649402,0.107693025,-0.007698167,0.078197096
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prepost_b_daPost,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prepost_b_daPost,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prepost_b_daPost,,,,,,,,
0.668294234,0.023508541,47.39307362,28.42772039,1.99E-31,-0.142347547,-0.246301102,-0.038393992,0.053038113,(Intercept),0.008086431,0.003956835,0.089924586,0.06290338,1863,164855,0.671448336,comment|video|creator,treatment,cm_knowledge_bi,lgbtq,moderation,,,,,,,,,,,,,,,,,,
0.027281444,0.029693967,47.05544406,0.918753769,0.362910073,0.061550204,-0.069754985,0.192855392,0.066993182,interventionC+M,0.008086431,0.003956835,0.089924586,0.06290338,1863,164855,0.671448336,comment|video|creator,treatment,cm_knowledge_bi,lgbtq,moderation,,,,,,,,,,,,,,,,,,
0.027348799,0.033005371,43.4116823,0.828616612,0.411854098,0.061702162,-0.084245886,0.20765021,0.074464112,interventionMO,0.008086431,0.003956835,0.089924586,0.06290338,1863,164855,0.671448336,comment|video|creator,treatment,cm_knowledge_bi,lgbtq,moderation,,,,,,,,,,,,,,,,,,
-0.015630829,0.014776657,1501.414379,-1.057805533,0.290314268,-0.035265023,-0.100606607,0.030076561,0.03333791,prepost_b_daPost,0.008086431,0.003956835,0.089924586,0.06290338,1863,164855,0.671448336,comment|video|creator,treatment,cm_knowledge_bi,lgbtq,moderation,,,,,,,,,,,,,,,,,,
0.035490538,0.046635605,35.26996477,0.761018057,0.4517046,0.080070934,-0.126149319,0.286291186,0.105215575,moderationYes,0.008086431,0.003956835,0.089924586,0.06290338,1863,164855,0.671448336,comment|video|creator,treatment,cm_knowledge_bi,lgbtq,moderation,,,,,,,,,,,,,,,,,,
0.011301401,0.018527183,1504.459634,0.60999027,0.541960374,0.025497317,-0.056428892,0.107423526,0.041799548,interventionC+M:prepost_b_daPost,0.008086431,0.003956835,0.089924586,0.06290338,1863,164855,0.671448336,comment|video|creator,treatment,cm_knowledge_bi,lgbtq,moderation,,,,,,,,,,,,,,,,,,
