Estimate,Std. Error,df,t value,Pr(>|t|),var,Std_Coefficient,CI_low,CI_high,std_SE,between_var,within_var,between_var_std,within_var_std,n_group,n_all,vpc,type,x,y,model_spe,factor,intervention,AME,SE,z,p,lower,upper
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_agreement,base,prepost_b_daPost,Control,0.005457507,0.01349962,0.404271134,0.68601335,-0.021001262,0.031916275
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_agreement,base,prepost_b_daPost,C+M,0.000139747,0.011858501,0.011784543,0.990597513,-0.023102489,0.023381983
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_agreement,base,prepost_b_daPost,MO,0.001648831,0.009963267,0.165491038,0.868557503,-0.017878812,0.021176475
0.234229501,0.03014106,51.45747019,7.771110369,3.13E-10,(Intercept),-0.284248792,-0.406500597,-0.161996987,0.062374058,0.011743132,0.010338333,0.108365731,0.101677593,1863,164855,0.531809458,comment|video|creator,treatment,cm_knowledge_application,base,,,,,,,,
0.032321037,0.039779647,52.10209382,0.812501862,0.42020077,interventionC+M,0.066885352,-0.094460457,0.228231161,0.082320199,0.011743132,0.010338333,0.108365731,0.101677593,1863,164855,0.531809458,comment|video|creator,treatment,cm_knowledge_application,base,,,,,,,,
0.038212124,0.043645276,51.49906471,0.87551569,0.385358676,interventionMO,0.079076419,-0.097948337,0.256101176,0.09031975,0.011743132,0.010338333,0.108365731,0.101677593,1863,164855,0.531809458,comment|video|creator,treatment,cm_knowledge_application,base,,,,,,,,
-0.010648499,0.014314765,1640.348949,-0.743882157,0.457054309,prepost_b_daPost,-0.02203607,-0.080096643,0.036024504,0.029623068,0.011743132,0.010338333,0.108365731,0.101677593,1863,164855,0.531809458,comment|video|creator,treatment,cm_knowledge_application,base,,,,,,,,
0.005258512,0.019037813,1659.298687,0.276214103,0.782418023,interventionC+M:prepost_b_daPost,0.010881998,-0.066335217,0.088099213,0.039396973,0.011743132,0.010338333,0.108365731,0.101677593,1863,164855,0.531809458,comment|video|creator,treatment,cm_knowledge_application,base,,,,,,,,
0.009953274,0.017941019,1446.037538,0.554777508,0.57913265,interventionMO:prepost_b_daPost,0.020597367,-0.052171262,0.093365995,0.037127261,0.011743132,0.010338333,0.108365731,0.101677593,1863,164855,0.531809458,comment|video|creator,treatment,cm_knowledge_application,base,,,,,,,,
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_application,base,prepost_b_daPost,Control,-0.010648499,0.014314765,-0.743882157,0.456947771,-0.038704923,0.017407926
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_application,base,prepost_b_daPost,C+M,-0.005389986,0.012550928,-0.429449209,0.667596349,-0.029989354,0.019209381
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_application,base,prepost_b_daPost,MO,-0.000695225,0.010815158,-0.064282447,0.94874533,-0.021892546,0.020502096
0.081933571,0.011378803,49.71081205,7.200543887,3.01E-09,(Intercept),-0.092342226,-0.163356119,-0.021328333,0.036231978,0.002824426,0.001085001,0.053145329,0.03293935,1863,164855,0.722465505,comment|video|creator,treatment,cm_knowledge_clarification,base,,,,,,,,
0.027933716,0.015099971,51.72030059,1.849918571,0.070042215,interventionC+M,0.088946238,-0.005291082,0.183183557,0.048080795,0.002824426,0.001085001,0.053145329,0.03293935,1863,164855,0.722465505,comment|video|creator,treatment,cm_knowledge_clarification,base,,,,,,,,
0.046913213,0.016467184,45.76780384,2.848890978,0.006552776,interventionMO,0.149381017,0.046611123,0.25215091,0.052434198,0.002824426,0.001085001,0.053145329,0.03293935,1863,164855,0.722465505,comment|video|creator,treatment,cm_knowledge_clarification,base,,,,,,,,
0.004471598,0.007912666,1395.031365,0.565119066,0.572083647,prepost_b_daPost,0.014238508,-0.035144071,0.063621088,0.025195472,0.002824426,0.001085001,0.053145329,0.03293935,1863,164855,0.722465505,comment|video|creator,treatment,cm_knowledge_clarification,base,,,,,,,,
-0.001050767,0.010539255,1437.967742,-0.099700279,0.920596176,interventionC+M:prepost_b_daPost,-0.003345927,-0.069120925,0.06242907,0.033559043,0.002824426,0.001085001,0.053145329,0.03293935,1863,164855,0.722465505,comment|video|creator,treatment,cm_knowledge_clarification,base,,,,,,,,
-0.013034536,0.00978439,1217.289506,-1.332176671,0.183051486,interventionMO:prepost_b_daPost,-0.041504559,-0.102568489,0.019559371,0.03115541,0.002824426,0.001085001,0.053145329,0.03293935,1863,164855,0.722465505,comment|video|creator,treatment,cm_knowledge_clarification,base,,,,,,,,
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_clarification,base,prepost_b_daPost,Control,0.004471598,0.007912666,0.565119066,0.571992781,-0.011036941,0.019980138
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_clarification,base,prepost_b_daPost,C+M,0.003420832,0.006961725,0.491377026,0.62315981,-0.010223898,0.017065561
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_clarification,base,prepost_b_daPost,MO,-0.008562938,0.005755347,-1.487823164,0.136797535,-0.019843211,0.002717334
0.115018764,0.013513055,53.78420651,8.511677096,1.53E-11,(Intercept),0.000654899,-0.082424407,0.083734205,0.042387869,0.003347987,0.001727658,0.057861796,0.0415651,1863,164855,0.659618125,comment|video|creator,treatment,cm_knowledge_disagreement,base,,,,,,,,
-0.01233246,0.017893889,55.48530021,-0.689199536,0.493569883,interventionC+M,-0.038684716,-0.148697738,0.071328306,0.056129712,0.003347987,0.001727658,0.057861796,0.0415651,1863,164855,0.659618125,comment|video|creator,treatment,cm_knowledge_disagreement,base,,,,,,,,
0.032267412,0.019610234,51.59630032,1.645437433,0.105958877,interventionMO,0.101217457,-0.019347754,0.221782669,0.061513541,0.003347987,0.001727658,0.057861796,0.0415651,1863,164855,0.659618125,comment|video|creator,treatment,cm_knowledge_disagreement,base,,,,,,,,
0.011539843,0.00836483,1437.840684,1.379566924,0.167934533,prepost_b_daPost,0.03619849,-0.015229444,0.087626424,0.026239031,0.003347987,0.001727658,0.057861796,0.0415651,1863,164855,0.659618125,comment|video|creator,treatment,cm_knowledge_disagreement,base,,,,,,,,
-0.005727872,0.011137163,1476.20856,-0.514302619,0.607117413,interventionC+M:prepost_b_daPost,-0.017967377,-0.086439928,0.050505174,0.034935361,0.003347987,0.001727658,0.057861796,0.0415651,1863,164855,0.659618125,comment|video|creator,treatment,cm_knowledge_disagreement,base,,,,,,,,
-0.018081989,0.010373969,1254.691398,-1.743015464,0.081575882,interventionMO:prepost_b_daPost,-0.056720081,-0.120500436,0.007060274,0.032541356,0.003347987,0.001727658,0.057861796,0.0415651,1863,164855,0.659618125,comment|video|creator,treatment,cm_knowledge_disagreement,base,,,,,,,,
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_disagreement,base,prepost_b_daPost,Control,0.011539843,0.00836483,1.379566923,0.167720028,-0.004854923,0.027934608
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_disagreement,base,prepost_b_daPost,C+M,0.005811971,0.007352959,0.790426104,0.429278963,-0.008599564,0.020223506
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_disagreement,base,prepost_b_daPost,MO,-0.006542146,0.006135867,-1.066213888,0.286326965,-0.018568224,0.005483931
0.319402912,0.030299415,46.17862754,10.54155381,7.06E-14,(Intercept),-0.269672766,-0.3889587,-0.150386833,0.060860842,0.012398495,0.010292316,0.111348528,0.101451052,1863,164855,0.546410393,comment|video|creator,treatment,cm_knowledge_reconceptualization,base,,,,,,,,
0.025339141,0.039998163,46.8454799,0.633507611,0.529483237,interventionC+M,0.050897214,-0.106571774,0.208366202,0.080342207,0.012398495,0.010292316,0.111348528,0.101451052,1863,164855,0.546410393,comment|video|creator,treatment,cm_knowledge_reconceptualization,base,,,,,,,,
0.039781823,0.043889494,46.12965498,0.906408773,0.369429964,interventionMO,0.079907285,-0.092881495,0.252696064,0.088158513,0.012398495,0.010292316,0.111348528,0.101451052,1863,164855,0.546410393,comment|video|creator,treatment,cm_knowledge_reconceptualization,base,,,,,,,,
-0.003271151,0.014802907,1547.110412,-0.220980312,0.825136922,prepost_b_daPost,-0.006570465,-0.064848048,0.051707118,0.029733789,0.012398495,0.010292316,0.111348528,0.101451052,1863,164855,0.546410393,comment|video|creator,treatment,cm_knowledge_reconceptualization,base,,,,,,,,
0.015904552,0.019688111,1566.831264,0.80782518,0.419313851,interventionC+M:prepost_b_daPost,0.031946421,-0.045563727,0.109456569,0.03954643,0.012398495,0.010292316,0.111348528,0.101451052,1863,164855,0.546410393,comment|video|creator,treatment,cm_knowledge_reconceptualization,base,,,,,,,,
0.010965703,0.018537847,1362.090488,0.591530547,0.554263151,interventionMO:prepost_b_daPost,0.022026042,-0.050955642,0.095007726,0.037235964,0.012398495,0.010292316,0.111348528,0.101451052,1863,164855,0.546410393,comment|video|creator,treatment,cm_knowledge_reconceptualization,base,,,,,,,,
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_reconceptualization,base,prepost_b_daPost,Control,-0.003271151,0.014802907,-0.220980312,0.825107763,-0.032284316,0.025742014
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_reconceptualization,base,prepost_b_daPost,C+M,0.012633401,0.012980588,0.973253359,0.330427397,-0.012808084,0.038074886
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_reconceptualization,base,prepost_b_daPost,MO,0.007694552,0.011159108,0.689531033,0.490489151,-0.014176899,0.029566002
0.330235922,0.02786103,48.15168856,11.85296888,6.95E-16,(Intercept),-0.141214432,-0.252708021,-0.029720844,0.056885111,0.011362141,0.008445412,0.106593345,0.091898923,1863,164855,0.573626688,comment|video|creator,treatment,cm_knowledge_reflection,base,,,,,,,,
0.01586533,0.036797908,49.02578033,0.431147618,0.668250952,interventionC+M,0.032392958,-0.11486401,0.179649926,0.075131935,0.011362141,0.008445412,0.106593345,0.091898923,1863,164855,0.573626688,comment|video|creator,treatment,cm_knowledge_reflection,base,,,,,,,,
-0.010115039,0.040379789,47.89377342,-0.250497562,0.803274089,interventionMO,-0.020652369,-0.18224322,0.140938483,0.082445222,0.011362141,0.008445412,0.106593345,0.091898923,1863,164855,0.573626688,comment|video|creator,treatment,cm_knowledge_reflection,base,,,,,,,,
-0.037062621,0.014342675,1642.673568,-2.584080118,0.009849544,prepost_b_daPost,-0.075672503,-0.133068753,-0.018276253,0.029284124,0.011362141,0.008445412,0.106593345,0.091898923,1863,164855,0.573626688,comment|video|creator,treatment,cm_knowledge_reflection,base,,,,,,,,
0.031486786,0.019078117,1666.922048,1.650413717,0.099046733,interventionC+M:prepost_b_daPost,0.064288056,-0.012058397,0.140634509,0.038952702,0.011362141,0.008445412,0.106593345,0.091898923,1863,164855,0.573626688,comment|video|creator,treatment,cm_knowledge_reflection,base,,,,,,,,
0.063424123,0.01793463,1444.096604,3.536405357,0.000418437,interventionMO:prepost_b_daPost,0.129496038,0.057725567,0.201266509,0.036617991,0.011362141,0.008445412,0.106593345,0.091898923,1863,164855,0.573626688,comment|video|creator,treatment,cm_knowledge_reflection,base,,,,,,,,
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_reflection,base,prepost_b_daPost,Control,-0.037062621,0.014342675,-2.584080119,0.009763911,-0.065173747,-0.008951495
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_reflection,base,prepost_b_daPost,C+M,-0.005575835,0.012580231,-0.443222015,0.657605156,-0.030232635,0.019080965
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_reflection,base,prepost_b_daPost,MO,0.026361502,0.010767481,2.448251566,0.014355139,0.005257627,0.047465377
0.695322249,0.022225625,44.90227293,31.284711,3.95E-32,(Intercept),-0.13419774,-0.235230917,-0.033164564,0.051548108,0.00965557,0.004929469,0.098262761,0.070210174,1863,164855,0.662018822,comment|video|creator,treatment,cm_relevant_to_video,base,,,,,,,,
-0.003652541,0.029398542,46.25475161,-0.124242248,0.901661835,interventionC+M,-0.008471279,-0.142111091,0.125168533,0.06818433,0.00965557,0.004929469,0.098262761,0.070210174,1863,164855,0.662018822,comment|video|creator,treatment,cm_relevant_to_video,base,,,,,,,,
0.01846765,0.032165926,43.98064163,0.574137066,0.568799994,interventionMO,0.04283249,-0.103387266,0.189052247,0.074602739,0.00965557,0.004929469,0.098262761,0.070210174,1863,164855,0.662018822,comment|video|creator,treatment,cm_relevant_to_video,base,,,,,,,,
-0.012077657,0.013037822,1502.443666,-0.926355367,0.354410105,prepost_b_daPost,-0.028011928,-0.087279546,0.031255689,0.030238914,0.00965557,0.004929469,0.098262761,0.070210174,1863,164855,0.662018822,comment|video|creator,treatment,cm_relevant_to_video,base,,,,,,,,
0.016353226,0.017337035,1522.92112,0.943253918,0.34570065,interventionC+M:prepost_b_daPost,0.037928351,-0.04088272,0.116739423,0.040210174,0.00965557,0.004929469,0.098262761,0.070210174,1863,164855,0.662018822,comment|video|creator,treatment,cm_relevant_to_video,base,,,,,,,,
0.023864642,0.016333183,1322.943881,1.461114002,0.144221619,interventionMO:prepost_b_daPost,0.055349745,-0.018897998,0.129597489,0.03788192,0.00965557,0.004929469,0.098262761,0.070210174,1863,164855,0.662018822,comment|video|creator,treatment,cm_relevant_to_video,base,,,,,,,,
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_relevant_to_video,base,prepost_b_daPost,Control,-0.012077657,0.013037822,-0.926355368,0.354261331,-0.037631319,0.013476006
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_relevant_to_video,base,prepost_b_daPost,C+M,0.004275569,0.011427509,0.374147097,0.708294881,-0.018121937,0.026673076
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_relevant_to_video,base,prepost_b_daPost,MO,0.011786986,0.009838092,1.198096704,0.230879372,-0.00749532,0.031069292
0.055896219,0.009506513,58.90740989,5.879781476,2.05E-07,(Intercept),0.080759204,-0.014256184,0.175774591,0.048477773,0.002436753,0.00080647,0.049363479,0.028398419,1863,164855,0.75133682,comment|video|creator,treatment,cm_seek_professional_help,base,,,,,,,,
-0.010981275,0.012603891,61.48592923,-0.871260695,0.387001077,interventionC+M,-0.055998717,-0.181971693,0.069974259,0.064272635,0.002436753,0.00080647,0.049363479,0.028398419,1863,164855,0.75133682,comment|video|creator,treatment,cm_seek_professional_help,base,,,,,,,,
-0.018578562,0.013712463,56.46253415,-1.354866875,0.180856368,interventionMO,-0.09474082,-0.23179368,0.04231204,0.0699257,0.002436753,0.00080647,0.049363479,0.028398419,1863,164855,0.75133682,comment|video|creator,treatment,cm_seek_professional_help,base,,,,,,,,
-0.01134055,0.006358355,1465.164076,-1.783566676,0.074701036,prepost_b_daPost,-0.057830605,-0.121381287,0.005720077,0.032424175,0.002436753,0.00080647,0.049363479,0.028398419,1863,164855,0.75133682,comment|video|creator,treatment,cm_seek_professional_help,base,,,,,,,,
0.016072739,0.008450617,1479.013569,1.901960482,0.057370441,interventionC+M:prepost_b_daPost,0.081962186,-0.002500301,0.166424672,0.043093581,0.002436753,0.00080647,0.049363479,0.028398419,1863,164855,0.75133682,comment|video|creator,treatment,cm_seek_professional_help,base,,,,,,,,
0.020519382,0.007996948,1297.102575,2.56590185,0.010402305,interventionMO:prepost_b_daPost,0.104637662,0.02470952,0.184565804,0.040780114,0.002436753,0.00080647,0.049363479,0.028398419,1863,164855,0.75133682,comment|video|creator,treatment,cm_seek_professional_help,base,,,,,,,,
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_seek_professional_help,base,prepost_b_daPost,Control,-0.01134055,0.006358355,-1.783566675,0.074494105,-0.023802696,0.001121597
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_seek_professional_help,base,prepost_b_daPost,C+M,0.00473219,0.00556635,0.850142333,0.395245958,-0.006177655,0.015642035
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_seek_professional_help,base,prepost_b_daPost,MO,0.009178833,0.004849999,1.892543084,0.058418659,-0.000326991,0.018684656
0.094760402,0.009098161,53.18737439,10.41533531,1.91E-14,(Intercept),-0.036499466,-0.094427397,0.021428465,0.029555393,0.003488164,0.000439369,0.059060684,0.020961126,1863,164855,0.888131106,comment|video|creator,treatment,cm_seek_wb_info,base,,,,,,,,
0.03005237,0.012153078,55.62045433,2.472819688,0.016488524,interventionC+M,0.097625284,0.020246719,0.17500385,0.039479295,0.003488164,0.000439369,0.059060684,0.020961126,1863,164855,0.888131106,comment|video|creator,treatment,cm_seek_wb_info,base,,,,,,,,
0.038476135,0.012887085,42.502454,2.985635213,0.004679784,interventionMO,0.124989978,0.042938011,0.207041945,0.04186371,0.003488164,0.000439369,0.059060684,0.020961126,1863,164855,0.888131106,comment|video|creator,treatment,cm_seek_wb_info,base,,,,,,,,
0.009203928,0.008328373,1301.510465,1.105129237,0.269307844,prepost_b_daPost,0.029899053,-0.023127715,0.08292582,0.027054772,0.003488164,0.000439369,0.059060684,0.020961126,1863,164855,0.888131106,comment|video|creator,treatment,cm_seek_wb_info,base,,,,,,,,
