Estimate,Std. Error,df,t value,Pr(>|t|),var,Std_Coefficient,CI_low,CI_high,std_SE,between_var,within_var,between_var_std,within_var_std,n_group,n_all,vpc,type,x,y,model_spe,factor,intervention,AME,SE,z,p,lower,upper
0.004866758,0.010991958,1377.119299,0.442756256,0.658011582,interventionMO:prepost_b_daPost,0.019223634,-0.065874644,0.104321911,0.043417968,0.004946574,0.003434797,0.070331881,0.058607141,1863,164855,0.590186712,comment|video|creator,treatment,cm_self_disclose_mh,base,,,,,,,,
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_self_disclose_mh,base,prepost_b_daPost,Control,0.003000584,0.008690677,0.345264679,0.729895398,-0.01403283,0.020033998
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_self_disclose_mh,base,prepost_b_daPost,C+M,-0.014604125,0.00761172,-1.918636749,0.055030321,-0.029522822,0.000314571
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_self_disclose_mh,base,prepost_b_daPost,MO,0.007867342,0.006730177,1.168965193,0.242417655,-0.005323561,0.021058246
0.097388298,0.015579551,48.46636399,6.251033862,9.99E-08,(Intercept),0.131123151,0.007304616,0.254941686,0.063173419,0.004002625,0.002634023,0.063266304,0.051322731,1863,164855,0.603109469,comment|video|creator,treatment,cm_wb_coping,base,,,,,,,,
0.010737326,0.020572067,49.45635646,0.521937174,0.604043993,interventionC+M,0.043538684,-0.119957881,0.20703525,0.083417535,0.004002625,0.002634023,0.063266304,0.051322731,1863,164855,0.603109469,comment|video|creator,treatment,cm_wb_coping,base,,,,,,,,
-0.003499692,0.022520592,48.22508872,-0.155399644,0.877154901,interventionMO,-0.014190634,-0.193173123,0.164791855,0.091318604,0.004002625,0.002634023,0.063266304,0.051322731,1863,164855,0.603109469,comment|video|creator,treatment,cm_wb_coping,base,,,,,,,,
-0.001001923,0.008094093,1469.108081,-0.123784452,0.901502876,prepost_b_daPost,-0.004062716,-0.068390238,0.060264805,0.032820526,0.004002625,0.002634023,0.063266304,0.051322731,1863,164855,0.603109469,comment|video|creator,treatment,cm_wb_coping,base,,,,,,,,
-0.005166754,0.010760922,1480.501035,-0.480140472,0.631198441,interventionC+M:prepost_b_daPost,-0.020950519,-0.10647257,0.064571531,0.043634181,0.004002625,0.002634023,0.063266304,0.051322731,1863,164855,0.603109469,comment|video|creator,treatment,cm_wb_coping,base,,,,,,,,
0.004745942,0.010187966,1300.935375,0.46583801,0.641409435,interventionMO:prepost_b_daPost,0.019244239,-0.061724265,0.100212742,0.041310917,0.004002625,0.002634023,0.063266304,0.051322731,1863,164855,0.603109469,comment|video|creator,treatment,cm_wb_coping,base,,,,,,,,
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_wb_coping,base,prepost_b_daPost,Control,-0.001001923,0.008094093,-0.123784452,0.901485943,-0.016866054,0.014862208
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_wb_coping,base,prepost_b_daPost,C+M,-0.006168677,0.007091058,-0.869923412,0.38434226,-0.020066895,0.007729541
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_wb_coping,base,prepost_b_daPost,MO,0.003744019,0.006187109,0.60513226,0.545091121,-0.008382491,0.015870529
